연번,지연일자,노선,지연시간대,최대지연시간
1,2023-01-01,7호선 (부천구청행),09시~18시,5분
2,2023-01-01,7호선 (온수행),09시~18시,5분
3,2023-01-01,7호선 (장암행),09시~18시,5분
4,2023-01-02,2호선 (외선),첫차~09시,20분
5,2023-01-02,7호선 (부천구청행),18시~막차,5분
6,2023-01-02,7호선 (온수행),18시~막차,5분
7,2023-01-02,7호선 (장암행),18시~막차,5분
8,2023-01-02,7호선 (부천구청행),첫차~09시,10분
9,2023-01-02,7호선 (온수행),첫차~09시,10분
10,2023-01-02,7호선 (장암행),첫차~09시,10분
11,2023-01-03,1호선 (하행선),첫차~09시,15분
12,2023-01-03,1호선 (상행선),첫차~09시,10분
13,2023-01-03,2호선 (외선),첫차~09시,10분
14,2023-01-03,3호선 (하행선),첫차~09시,5분
15,2023-01-03,3호선 (상행선),첫차~09시,5분
16,2023-01-03,4호선 (하행선),첫차~09시,10분
17,2023-01-03,4호선 (상행선),첫차~09시,5분
18,2023-01-03,5호선 (상일동행),첫차~09시,10분
19,2023-01-03,5호선 (마천행),첫차~09시,10분
20,2023-01-03,7호선 (장암행),09시~18시,5분
21,2023-01-03,7호선 (부천구청행),09시~18시,5분
22,2023-01-03,7호선 (온수행),09시~18시,5분
23,2023-01-03,8호선 (모란행),첫차~09시,10분
24,2023-01-04,1호선 (하행선),첫차~09시,5분
25,2023-01-04,1호선 (상행선),첫차~09시,5분
26,2023-01-04,2호선 (외선),첫차~09시,15분
27,2023-01-04,3호선 (하행선),첫차~09시,10분
28,2023-01-04,3호선 (상행선),첫차~09시,10분
29,2023-01-04,4호선 (하행선),첫차~09시,10분
30,2023-01-04,4호선 (상행선),첫차~09시,5분
31,2023-01-04,5호선 (상일동행),첫차~09시,5분
32,2023-01-04,5호선 (마천행),첫차~09시,5분
33,2023-01-05,1호선 (하행선),첫차~09시,5분
34,2023-01-05,1호선 (상행선),첫차~09시,10분
35,2023-01-05,2호선 (외선),첫차~09시,10분
36,2023-01-05,3호선 (하행선),첫차~09시,10분
37,2023-01-05,3호선 (상행선),첫차~09시,5분
38,2023-01-05,4호선 (하행선),첫차~09시,10분
39,2023-01-05,4호선 (상행선),첫차~09시,5분
40,2023-01-05,5호선 (상일동행),첫차~09시,5분
41,2023-01-06,2호선 (외선),첫차~09시,10분
42,2023-01-06,3호선 (하행선),첫차~09시,10분
43,2023-01-06,3호선 (상행선),첫차~09시,5분
44,2023-01-09,1호선 (하행선),첫차~09시,5분
45,2023-01-09,1호선 (상행선),첫차~09시,5분
46,2023-01-09,2호선 (외선),첫차~09시,10분
47,2023-01-09,3호선 (하행선),첫차~09시,10분
48,2023-01-09,3호선 (상행선),첫차~09시,10분
49,2023-01-09,4호선 (하행선),첫차~09시,10분
50,2023-01-09,4호선 (상행선),첫차~09시,5분
51,2023-01-09,7호선 (부천구청행),09시~18시,5분
52,2023-01-09,7호선 (온수행),09시~18시,5분
53,2023-01-09,7호선 (장암행),09시~18시,5분
54,2023-01-10,2호선 (외선),09시~18시,25분
55,2023-01-10,2호선 (외선),첫차~09시,10분
56,2023-01-10,4호선 (하행선),첫차~09시,10분
57,2023-01-10,4호선 (하행선),09시~18시,10분
58,2023-01-10,4호선 (상행선),09시~18시,5분
59,2023-01-10,4호선 (상행선),첫차~09시,5분
60,2023-01-10,7호선 (부천구청행),18시~막차,5분
61,2023-01-10,7호선 (온수행),18시~막차,5분
62,2023-01-10,7호선 (장암행),18시~막차,5분
63,2023-01-10,7호선 (부천구청행),첫차~09시,5분
64,2023-01-10,7호선 (온수행),첫차~09시,5분
65,2023-01-10,7호선 (장암행),첫차~09시,5분
66,2023-01-11,2호선 (외선),첫차~09시,10분
67,2023-01-11,3호선 (하행선),첫차~09시,10분
68,2023-01-11,3호선 (상행선),첫차~09시,5분
69,2023-01-11,4호선 (상행선),첫차~09시,10분
70,2023-01-11,4호선 (하행선),첫차~09시,10분
71,2023-01-12,3호선 (하행선),첫차~09시,10분
72,2023-01-12,3호선 (상행선),첫차~09시,5분
