번호,지연일자,노선,지연시간대,최대지연시간
1,2023-09-01,2호선 (외선),첫차~09시,10분
2,2023-09-01,2호선 (내선),첫차~09시,5분
3,2023-09-01,1호선 (하행선),첫차~09시,15분
4,2023-09-01,1호선 (상행선),첫차~09시,15분
5,2023-09-01,4호선 (하행선),첫차~09시,10분
6,2023-09-01,4호선 (상행선),09시~18시,10분
7,2023-09-01,3호선 (하행선),첫차~09시,10분
8,2023-09-01,3호선 (상행선),첫차~09시,10분
9,2023-09-04,3호선 (하행선),첫차~09시,10분
10,2023-09-04,4호선 (상행선),첫차~09시,10분
11,2023-09-04,4호선 (하행선),첫차~09시,5분
12,2023-09-04,3호선 (상행선),첫차~09시,5분
13,2023-09-05,2호선 (외선),첫차~09시,10분
14,2023-09-05,2호선 (내선),첫차~09시,5분
15,2023-09-05,3호선 (하행선),첫차~09시,10분
16,2023-09-05,3호선 (상행선),첫차~09시,5분
17,2023-09-05,4호선 (하행선),첫차~09시,10분
18,2023-09-05,4호선 (상행선),첫차~09시,10분
19,2023-09-05,1호선 (상행선),첫차~09시,10분
20,2023-09-05,1호선 (하행선),첫차~09시,20분
21,2023-09-05,5호선 (마천행),첫차~09시,10분
22,2023-09-06,1호선 (상행선),첫차~09시,5분
23,2023-09-06,2호선 (외선),첫차~09시,10분
24,2023-09-06,1호선 (하행선),첫차~09시,5분
25,2023-09-06,4호선 (하행선),첫차~09시,10분
26,2023-09-06,4호선 (상행선),첫차~09시,10분
27,2023-09-06,3호선 (하행선),첫차~09시,10분
28,2023-09-06,3호선 (상행선),첫차~09시,10분
29,2023-09-05,2호선 (내선),09시~18시,5분
30,2023-09-05,2호선 (외선),09시~18시,5분
31,2023-09-07,2호선 (내선),첫차~09시,5분
32,2023-09-07,2호선 (외선),첫차~09시,5분
33,2023-09-08,7호선 (부천구청행),첫차~09시,10분
34,2023-09-08,1호선 (하행선),첫차~09시,10분
35,2023-09-08,1호선 (상행선),첫차~09시,15분
36,2023-09-08,2호선 (외선),첫차~09시,10분
37,2023-09-08,3호선 (상행선),첫차~09시,10분
38,2023-09-08,3호선 (하행선),첫차~09시,10분
39,2023-09-08,4호선 (상행선),첫차~09시,10분
40,2023-09-08,4호선 (하행선),첫차~09시,15분
41,2023-09-09,1호선 (하행선),첫차~09시,10분
42,2023-09-09,1호선 (상행선),첫차~09시,15분
43,2023-09-09,2호선 (내선),09시~18시,5분
44,2023-09-09,3호선 (상행선),첫차~09시,5분
45,2023-09-09,4호선 (하행선),첫차~09시,5분
